Type,n,Number,rho,delta,Time,LB,UB,GAP,Max|O|,TreeSize
Uniform,14,2,0.25,0.25,1213.1357769966125,39.62341393932703,39.64540263853638,0.0554634276509491,29,239
Uniform,14,3,0.25,0.25,3111.58820605278,36.37840855837396,36.38844093876354,0.02757023969907864,9,53
Uniform,14,4,0.25,0.25,2717.6542551517487,39.86088520271054,39.87112929817171,0.025693015576656222,27,185
Uniform,14,5,0.25,0.25,2207.175001859665,36.265411177051895,36.27523818377471,0.027090123221330406,7,60
Uniform,14,6,0.25,0.25,3059.1132822036743,36.81202892888282,36.82128625453588,0.0251412337664319,8,63
Uniform,14,7,0.25,0.25,3560.7213559150696,42.52190496431799,42.52832501462776,0.015095939723849195,23,196
Uniform,14,8,0.25,0.25,1320.7266299724579,37.45233404477041,37.4774339017202,0.06697325386686787,36,232
Uniform,14,9,0.25,0.25,1829.0575299263,37.81353252825846,37.8232835261936,0.02578041096929876,6,69
Uniform,14,10,0.25,0.25,2991.2470121383667,37.47806367168689,37.48992273372184,0.03163266598115359,24,168
Uniform,14,1,0.5,0.5,3091.816134929657,37.211770339217836,37.22362956760289,0.03185940899051276,21,68
Uniform,14,2,0.5,0.5,1233.050446987152,36.92257688701871,36.94726382425035,0.0668166859366707,42,210
Uniform,14,3,0.5,0.5,2890.541566133499,34.30313791584037,34.32092310212114,0.051820244542538106,9,43
Uniform,14,4,0.5,0.5,3569.014086008072,37.682038170423695,37.69937539253705,0.04598808848378646,54,197
Uniform,14,5,0.5,0.5,2295.141832113266,34.38429354833455,34.40174064260273,0.05071573107140613,8,43
Uniform,14,6,0.5,0.5,2461.813634157181,34.69902641749759,34.715847960473226,0.04845493906640881,10,44
Uniform,14,7,0.5,0.5,1496.3341889381409,39.54745669706104,39.591947852433144,0.1123742523048731,30,152
Uniform,14,8,0.5,0.5,1178.4550659656525,34.49473926375213,34.52780174218477,0.0957561059910913,47,193
Uniform,14,9,0.5,0.5,2971.3389019966125,35.762432273061314,35.78116932891598,0.05236568900928183,10,69
Uniform,14,10,0.5,0.5,3390.7453219890594,35.05856603466854,35.07868745177145,0.05736080385156338,36,129
Uniform,14,1,1.0,1.0,2672.4716770648956,33.77446106985912,33.800646983812626,0.07747163527977853,8,19
Uniform,14,2,1.0,1.0,1526.4355840682983,32.8459839408478,32.91967181103999,0.22384144840555814,28,78
Uniform,14,3,1.0,1.0,3297.0198390483856,31.3271469457207,31.352441564394425,0.08067830577651774,4,19
Uniform,14,4,1.0,1.0,1769.1757390499115,33.5611414807373,33.609349033731746,0.14343495003745835,151,279
Uniform,14,5,1.0,1.0,2714.0802760124207,31.970800350212496,31.990027817489334,0.06010456566820036,3,8
Uniform,14,6,1.0,1.0,2746.7144689559937,31.070286283385997,31.099847893194816,0.09505387264382152,14,26
